root_id,type,family,subsystem,category,side
720575940625884860,R1-6,Photo Receptors,Photoreceptors,intrinsic,left
720575940625885571,Tm1,Transmedullary,OFF,intrinsic,right
720575940625885710,MTe51,MT,,boundary,left
720575940625885840,T1,T1 Neuron,OFF,intrinsic,right
720575940625886360,LPC1,LPC,,boundary,right
720575940625886695,T4d,T4 Neuron,Motion,intrinsic,left
720575940625886908,L4,Lamina Monopolar,OFF,intrinsic,left
720575940625887376,C3,Centrifugal,ON,intrinsic,left
720575940625887758,R1-6,Photo Receptors,Photoreceptors,intrinsic,right
720575940625887791,R1-6,Photo Receptors,Photoreceptors,intrinsic,left
720575940625888295,Mi1,Medulla Intrinsic,ON,intrinsic,left
720575940625888954,T4b,T4 Neuron,Motion,intrinsic,left
720575940625889155,Tm9,Transmedullary,Motion,intrinsic,right
720575940625889317,C3,Centrifugal,ON,intrinsic,right
720575940625889319,Mi4,Medulla Intrinsic,Color,intrinsic,left
720575940625889929,Tm3,Transmedullary,ON,intrinsic,right
720575940625890291,Lai,Lamina Intrinsic,OFF,intrinsic,left
720575940625890878,T4d,T4 Neuron,Motion,intrinsic,right
720575940625891002,Mi9,Medulla Intrinsic,Luminance,intrinsic,left
720575940625891086,R1-6,Photo Receptors,Photoreceptors,intrinsic,left
720575940625891472,LCe03,LC,,boundary,left
720575940625891571,Dm8b,Distal Medulla,Color,intrinsic,left
720575940625891623,TmY5a,Transmedullary Y,Object,intrinsic,right
720575940625891768,R7,Photo Receptors,Photoreceptors,intrinsic,left
720575940625892280,C2,Centrifugal,ON,intrinsic,left
720575940625892389,Tm21,Transmedullary,Object,intrinsic,left
720575940625892912,T2a,T2 Neuron,Object,intrinsic,right
720575940625893105,Mi9,Medulla Intrinsic,Luminance,intrinsic,left
720575940625893157,Tm21,Transmedullary,Object,intrinsic,right
720575940625893159,C3,Centrifugal,ON,intrinsic,right
720575940625893220,Tm32,Transmedullary,Color,intrinsic,right
720575940625893820,Dm8a,Distal Medulla,Color,intrinsic,right
720575940625893834,LC10a,LC,,boundary,right
720575940625894158,Dm8b,Distal Medulla,Color,intrinsic,right
720575940625894643,Dm6,Distal Medulla,OFF,intrinsic,left
720575940625894658,LLPC1,LLPC,,boundary,right
720575940625894686,TmY31,Transmedullary Y,Color,intrinsic,left
720575940625894899,L1,Lamina Monopolar,ON,intrinsic,left
720575940625894960,L5,Lamina Monopolar,ON,intrinsic,left
720575940625895155,L1,Lamina Monopolar,ON,intrinsic,left
720575940625895452,Tm37,Transmedullary,Color,intrinsic,left
720575940625895824,TmY15,Transmedullary Y,Object,intrinsic,right
720575940625895923,L1,Lamina Monopolar,ON,intrinsic,left
720575940625896229,Tm5b,Transmedullary,Color,intrinsic,left
720575940625896376,Tm27,Transmedullary,Object,intrinsic,right
720575940625896718,TmY5a,Transmedullary Y,Object,intrinsic,right
720575940625896935,Tm2,Transmedullary,OFF,intrinsic,right
720575940625897404,L2,Lamina Monopolar,OFF,intrinsic,right
720575940625897447,aMe5,aMe,,boundary,left
720575940625897703,L4,Lamina Monopolar,OFF,intrinsic,left
720575940625897767,Mi4,Medulla Intrinsic,Color,intrinsic,left
720575940625898014,Tm21,Transmedullary,Object,intrinsic,right
720575940625898680,Dm2,Distal Medulla,Luminance,intrinsic,left
720575940625898829,LC10d,LC,,boundary,right
720575940625899251,TmY5a,Transmedullary Y,Object,intrinsic,left
720575940625899292,Li13,Lobula Intrinsic,Color,intrinsic,left
720575940625899597,L5,Lamina Monopolar,ON,intrinsic,left
720575940625899704,Sm30,Serpentine Medulla,Luminance,intrinsic,left
720575940625900019,Tm21,Transmedullary,Object,intrinsic,left
720575940625900080,T2,T2 Neuron,Object,intrinsic,right
720575940625900531,Tm21,Transmedullary,Object,intrinsic,left
720575940625901949,LC11,LC,,boundary,left
720575940625902117,Tm20,Transmedullary,Color,intrinsic,left
720575940625902264,Dm14,Distal Medulla,OFF,intrinsic,right
720575940625902973,LC18,LC,,boundary,left
720575940625903079,L2,Lamina Monopolar,OFF,intrinsic,left
720575940625903335,T5a,T5 Neuron,Motion,intrinsic,left
720575940625903548,L5,Lamina Monopolar,ON,intrinsic,left
720575940625903653,Mi15,Medulla Intrinsic,Luminance,intrinsic,right
720575940625903678,Tm9,Transmedullary,Motion,intrinsic,right
720575940625903902,Sm10,Serpentine Medulla,Color,intrinsic,right
720575940625904165,Tm27,Transmedullary,Object,intrinsic,left
720575940625904359,LC12,LC,,boundary,left
720575940625905039,DmDRA2,Distal Medulla Dorsal Rim Area,Color,intrinsic,right
720575940625905127,TmY3,Transmedullary Y,Object,intrinsic,right
720575940625905336,MLt3,Medulla Lobula Tangential,Object,intrinsic,right
720575940625905383,R8,Photo Receptors,Photoreceptors,intrinsic,right
720575940625905678,T4a,T4 Neuron,Motion,intrinsic,left
720575940625905712,T2a,T2 Neuron,Object,intrinsic,left
720575940625906190,R7,Photo Receptors,Photoreceptors,intrinsic,right
720575940625906253,T3,T3 Neuron,Object,intrinsic,right
720575940625906702,LC4,LC,,boundary,right
720575940625906876,Li12,Lobula Intrinsic,Color,intrinsic,right
720575940625906919,MTe50,MT,,boundary,right
720575940625906983,R1-6,Photo Receptors,Photoreceptors,intrinsic,right
720575940625907044,C3,Centrifugal,ON,intrinsic,right
720575940625907343,Li06,Lobula Intrinsic,Color,intrinsic,right
720575940625908156,Sm01,Serpentine Medulla,Color,intrinsic,right
720575940625909325,R1-6,Photo Receptors,Photoreceptors,intrinsic,right
720575940625909391,TmY3,Transmedullary Y,Object,intrinsic,right
720575940625909541,T5d,T5 Neuron,Motion,intrinsic,left
720575940625909777,LC12,LC,,boundary,right
720575940625910542,Tm7,Transmedullary,Color,intrinsic,left
720575940625910576,T4a,T4 Neuron,Motion,intrinsic,right
720575940625910823,L1,Lamina Monopolar,ON,intrinsic,left
720575940625910832,L4,Lamina Monopolar,OFF,intrinsic,left
720575940625911224,R1-6,Photo Receptors,Photoreceptors,intrinsic,left
720575940625911736,R8,Photo Receptors,Photoreceptors,intrinsic,left
720575940625911740,TmY10,Transmedullary Y,Color,intrinsic,right
720575940625912248,Tm21,Transmedullary,Object,intrinsic,right
720575940625912368,Dm8a,Distal Medulla,Color,intrinsic,left
720575940625912397,LPi04,Lobula Plate Intrinsic,Motion,intrinsic,left
720575940625912713,LLPC3,LLPC,,boundary,right
720575940625914405,T4c,T4 Neuron,Motion,intrinsic,left
720575940625914501,MTe14,MT,,boundary,right
720575940625914686,C3,Centrifugal,ON,intrinsic,right
720575940625914928,Sm04,Serpentine Medulla,Color,intrinsic,left
720575940625914954,Tm3,Transmedullary,ON,intrinsic,left
720575940625915064,T5b,T5 Neuron,Motion,intrinsic,left
720575940625915952,Li01,Lobula Intrinsic,Color,intrinsic,right
720575940625916092,Pm01,Proximal Medulla,Object,intrinsic,left
720575940625916444,T4c,T4 Neuron,Motion,intrinsic,left
720575940625916965,Tm20,Transmedullary,Color,intrinsic,right
720575940625917228,T4b,T4 Neuron,Motion,intrinsic,right
720575940625917735,LT54,LT,,boundary,"left,right"
720575940625917821,LC17,LC,,boundary,right
720575940625918224,Mi9,Medulla Intrinsic,Luminance,intrinsic,left
720575940625918501,Tm4,Transmedullary,OFF,intrinsic,left
720575940625918757,Y3,Y Neuron,Object,intrinsic,left
720575940625919162,T4d,T4 Neuron,Motion,intrinsic,left
720575940625919758,C3,Centrifugal,ON,intrinsic,left
720575940625919826,Li11,Lobula Intrinsic,Color,intrinsic,left
720575940625919928,L1,Lamina Monopolar,ON,intrinsic,right
